Address,Cuisine_Type,Cuisines,Features,Location,Meals,Price,Price_Range,Restaurant,Special_Diets,Segment,Cuisine_Category
"2446 Old Springville Rd, Birmingham, AL 35215-4054",Pizza,Pizza,,AL 35215-4054,"Lunch, Dinner",,,Domino's Pizza,,FSR,Food-Centric
"401 19th St S Ste 116, Birmingham, AL 35233-1997",,,,AL 35233-1997,,$,,Subway,,LSR,Food-Centric
"2733 University Blvd, Birmingham, AL 35233",,,,AL 35233,"Breakfast, Lunch, Dinner",$,,McDonald's,,LSR,Food-Centric
"406 W Valley Ave, Birmingham, AL 35209-4804",Pizza,Pizza,,AL 35209-4804,,,,Little Caesars,,FSR,Food-Centric
"1600 1st Ave S, Birmingham, AL 35233-1703",American,American,,AL 35233-1703,,,,George's Boxcar Cafe at Railroad Park,,FSR,Geography/Ethnic
"1535 Forestdale Blvd, Birmingham, AL 35214-3017",Pizza,Pizza,,AL 35214-3017,"Lunch, Dinner",,,Domino's Pizza,,FSR,Food-Centric
"1817 Pinson Valley Pkwy, Birmingham, AL 35217-2331",Chinese,Chinese,,AL 35217-2331,"Lunch, Dinner",$,,Hong Kong Restaurant,,LSR,Geography/Ethnic
"430 Green Springs Hwy, Birmingham, AL 35209-4945",,,,AL 35209-4945,,,,Gus's Hot Dogs,,FSR,Food-Centric
"2800 Cahaba Village Plz Ste 145, Birmingham, AL 35243-5939","Japanese,Sushi,Asian","Japanese, Sushi, Asian","Takeout, Wheelchair Accessible, Reservations, Seating",AL 35243-5939,"Lunch, Dinner",$$ - $$$,,Maki Fresh,,FSR,Geography/Ethnic
"9340 Helena Rd Ste C, Birmingham, AL 35244-1747","American,Pub","American, Pub",,AL 35244-1747,Lunch,,,Pub 261,,Bar/Club,Geography/Ethnic
"1321 10th Ave S, Birmingham, AL 35205-7800",,,,AL 35205-7800,,,,Subway,,FSR,Food-Centric
"2700 University Blvd, Birmingham, AL 35233",,,,AL 35233,"Breakfast, Lunch, Dinner",,,Burger King,,FSR,Food-Centric
"429 Green Springs Hwy, Birmingham, AL 35209-4935",Chinese,Chinese,,AL 35209-4935,"Lunch, Dinner",,,Hunan Wok,,FSR,Geography/Ethnic
"1821 2nd Ave N, Birmingham, AL 35203-3156",Cafe,Cafe,,AL 35203-3156,,$,$5 - $10,Piper and Leaf x Pizitz Shop,,LSR,Beverage-Centric
"217 Gadsden Hwy, Birmingham, AL 35235-1005",Mexican,Mexican,,AL 35235-1005,"Lunch, Dinner",,,Sol Azteca,,FSR,Geography/Ethnic
"873 Dennison Ave. SW, Birmingham, AL 35211",,,,AL 35211,"Lunch, Dinner",,,Pizza Hut,,FSR,Food-Centric
"1679 Center Point Pkwy, Birmingham, AL 35215-5500","Cajun & Creole,Seafood","Cajun & Creole, Seafood",,AL 35215-5500,"Lunch, Dinner",$$ - $$$,$3 - $30,Cajun Bistro,,FSR,Food-Centric
"3429 Lorna Rd, Birmingham, AL 35216-5201",American,American,,AL 35216-5201,,,,Jack's,,FSR,Geography/Ethnic
"5711 Chalkville Rd, Birmingham, AL 35235-8627",American,American,,AL 35235-8627,,,,Jack's,,FSR,Geography/Ethnic
"101 Resource Center Pkwy, Birmingham, AL 35242-8096",Chinese,Chinese,,AL 35242-8096,,,,Panda Express,,FSR,Geography/Ethnic
"1102 10th St S, Birmingham, AL 35205-4562",,,,AL 35205-4562,,,,Club South,,FSR,Food-Centric
"1024 20th St S Five Points, Birmingham, AL 35205-2606",,,,AL 35205-2606,,,,Panache by Domestique Coffee,,FSR,Food-Centric
"2218 2nd Ave North, Birmingham, AL 35203","Italian,Wine Bar","Italian, Wine Bar",,AL 35203,"Lunch, Dinner",$$ - $$$,$13 - $25,Lé Fresca,,Bar/Club,Geography/Ethnic
"3921 1st Ave N, Birmingham, AL 35222-1501",Barbecue,Barbecue,,AL 35222-1501,"Breakfast, Lunch",$$ - $$$,,M & M Barbecue,,Bar/Club,Food-Centric
"5479 Highway 280, Birmingham, AL 35242-2301",Pizza,Pizza,Delivery,AL 35242-2301,"Lunch, Dinner",,,Pizza Express,,FSR,Food-Centric
"2215 1st Ave N, Birmingham, AL 35203-4203",,,,AL 35203-4203,Dinner,,,Matthew's Bar & Grill,,FSR,Food-Centric
"1694 Montgomery Hwy Ste 118, Birmingham, AL 35216-4915",,,,AL 35216-4915,"Breakfast, Lunch",,,Louise's Cakes n Things,,FSR,Food-Centric
"2800 Greystone Commercial Blvd Suite 1-A, Birmingham, AL 35242",,,,AL 35242,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"109 Wildwood Pkwy, Birmingham, AL 35209-7155",,,,AL 35209-7155,"Lunch, Dinner",,,Yummy bowl,,FSR,Food-Centric
"1541 Montclair Rd, Birmingham, AL 35210-2224",,,,AL 35210-2224,"Breakfast, Lunch, Dinner",,,Taco Bell,,FSR,Food-Centric
"1926 28th Ave S, Birmingham, AL 35209-2605",,,,AL 35209-2605,"Breakfast, Lunch, Dinner",$,,Smoothie King,,LSR,Food-Centric
"1101 20th St S, Birmingham, AL 35205-2611",,,,AL 35205-2611,,,,Joe Muggs,,FSR,Food-Centric
"1717 Finley Blvd, Birmingham, AL 35204-1736","American,Cajun & Creole,Fast Food","American, Cajun & Creole, Fast Food",,AL 35204-1736,"Lunch, Dinner",$,,Popeyes Louisiana Kitchen,,LSR,Geography/Ethnic
"323 Summit Blvd, Birmingham, AL 35243-3132",,,,AL 35243-3132,,,,Real & Rosemary,,FSR,Food-Centric
"2608 Highland Ave S, Birmingham, AL 35205-1708","Mexican,American,Caribbean","Mexican, American, Caribbean, Cuban",,AL 35205-1708,,$$ - $$$,$8 - $12,EATS Highland,,FSR,Geography/Ethnic
"702 Valley Ave, Birmingham, AL 35209-3306",Mexican,Mexican,,AL 35209-3306,"Breakfast, Lunch, Dinner, Drinks",$,$11 - $20,El Taco Loco,,LSR,Geography/Ethnic
"1821 2nd Ave N, Birmingham, AL 35203-3156",,,,AL 35203-3156,,,,Busy Corner Cheese,,FSR,Food-Centric
"755 Shades Mountain Plz, Birmingham, AL 35226-1512",,,,AL 35226-1512,,$$ - $$$,,Wings Plus V & Grill,,FSR,Food-Centric
"500 Old Town Rd., Birmingham, AL 35216",Pizza,Pizza,"Gift Cards Available, Reservations",AL 35216,"Lunch, Dinner",,,Chuck E. Cheese,,FSR,Food-Centric
"2201 2nd Ave S Suite 102, Birmingham, AL 35233-2303",,,,AL 35233-2303,,,,Birmingham District Brewing Company,,FSR,Food-Centric
"601 Vestavia Pkwy, Birmingham, AL 35216-3764",American,American,,AL 35216-3764,"Lunch, Dinner",,,Applebee's,,FSR,Geography/Ethnic
"1919 28th Ave S Ste 111, Birmingham, AL 35209-2600",Chinese,Chinese,,AL 35209-2600,,$,,Yoe Express Restaurant,,LSR,Geography/Ethnic
"5243 Highway 280, Birmingham, AL 35242-5315","American,Cafe","Cafe, American","Seating, Highchairs Available, Wheelchair Accessible, Takeout, Table Service",AL 35242-5315,"Breakfast, Brunch, Lunch, Dinner",$$ - $$$,,IHOP,,LSR,Geography/Ethnic
"4643 Highway 280 Ste M, Birmingham, AL 35242-8085","American,Bar,Seafood","Bar, Pub, American, Seafood","Seating, Takeout, Table Service",AL 35242-8085,"Lunch, Dinner, Late Night, Drinks",$$ - $$$,,Courtyard 280 Oyster Bar,,Bar/Club,Geography/Ethnic
"1241 McFarland Blvd. East, Tuscaloosa, AL 35404",American,American,,AL 35404,"Lunch, Dinner",,,Wing Zone,,FSR,Geography/Ethnic
"5279 Us-280, Birmingham, AL 35242-5315",Grill,Grill,,AL 35242-5315,,,,Brook Highland Bar and Grill,,LSR,Food-Centric
"100 Frankfurt Cir, Birmingham, AL 35211-6970",Grill,Grill,,AL 35211-6970,"Lunch, Dinner",,,Overtime Grill & Bar,,LSR,Food-Centric
"715 18th St N, Birmingham, AL 35203-2207",Deli,Deli,,AL 35203-2207,,$,,Marilyn’s Deli & Dogs,,LSR,Food-Centric
"808 20th St S, Birmingham, AL 35205-2752","American,Cafe","American, Cafe",,AL 35205-2752,,$,$6 - $8,The Lab Market Cafe,,LSR,Geography/Ethnic
"1120 Forestdale Blvd, Birmingham, AL 35214-3834",American,American,,AL 35214-3834,,,,Milo's Hamburgers,,FSR,Geography/Ethnic
"2630 Cahaba Rd Birmingham Zoo, Birmingham, AL 35223-1106",Cafe,Cafe,,AL 35223-1106,,,,Kudzoo Cafe,,LSR,Beverage-Centric
"5212 Caldwell Mill Rd, Birmingham, AL 35242-4510",,,,AL 35242-4510,"Lunch, Dinner",,,Bruster's Real Ice Cream,,FSR,Food-Centric
"5712 Chalkville Mtn. Rd. Suite 112, Birmingham, AL 35235",,,,AL 35235,,$$ - $$$,,Guerro Mexican Grill,,FSR,Food-Centric
"2131 7th Ave S, Birmingham, AL 35242",,,,AL 35242,"Lunch, Dinner",,,Yum Yai Thai Takeout,,FSR,Food-Centric
"1701 Forestdale Blvd, Birmingham, AL 35214-2025",,,,AL 35214-2025,"Lunch, Dinner",,,Polar Shaved Ice,,FSR,Food-Centric
"808 20th St S DoubleTree by Hilton Hotel Birmingham, Birmingham, AL 35205-2752",,,Reservations,AL 35205-2752,,$$ - $$$,,808 south,,FSR,Food-Centric
"2246 Bessemer Rd, Birmingham, AL 35208-4712",American,American,,AL 35208-4712,,$$ - $$$,,Applebee's,,FSR,Geography/Ethnic
"744 Brookwood Vlg Ste 239, Birmingham, AL 35209-4549","Fast Food,Deli","Fast Food, Deli",,AL 35209-4549,"Lunch, Dinner",,,Charleys Philly Steaks,,LSR,Food-Centric
"360 Palisades Blvd, Birmingham, AL 35209-5152",,,,AL 35209-5152,"Lunch, Dinner",,,Apple Dumpling,,FSR,Food-Centric
"5500 Crestwood Blvd, Birmingham, AL 35212-4131",Pub,Pub,,AL 35212-4131,"Lunch, Dinner",$,,Crestwood Tavern,,Bar/Club,Beverage-Centric
"3310 Clairmont Ave S, Birmingham, AL 35222-3105","Chinese,Asian","Chinese, Asian","Takeout, Wheelchair Accessible",AL 35222-3105,"Lunch, Dinner",$,,China Moon,,LSR,Geography/Ethnic
"803 20th Street South, Birmingham, AL 35205","Fast Food,Deli","Fast Food, Deli",,AL 35205,"Breakfast, Lunch, Dinner",$,,Subway,,LSR,Food-Centric
"1901 6th Ave N, Birmingham, AL 35203-2618",Deli,Deli,,AL 35203-2618,,,,Wall Street Deli,,FSR,Food-Centric
"1113 Stoneriver Dr, Birmingham, AL 35211-4568","Mexican,Bar,Seafood","Mexican, Bar, Seafood, Pub",,AL 35211-4568,,$$ - $$$,$7 - $22,Cabo Costal Grill,,Bar/Club,Geography/Ethnic
"1400 University Blvd, Birmingham, AL 35233",,,,AL 35233,"Breakfast, Lunch, Dinner",,,Panera Bread,,FSR,Food-Centric
"1413 Montgomery Hwy, Birmingham, AL 35216-3606",,,,AL 35216-3606,"Lunch, Dinner",$$ - $$$,,Diplomat Deli,,FSR,Food-Centric
"2400 7th Ave S, Birmingham, AL 35233-3318","Bar,Pub","Bar, Pub",,AL 35233-3318,Dinner,,,Dread River Distilling Co.,,Bar/Club,Beverage-Centric
"784 Montgomery Hwy, Birmingham, AL 35216-1800",Chinese,Chinese,,AL 35216-1800,,,,China Ben,,FSR,Geography/Ethnic
"2124 7th Ave S, Birmingham, AL 35233",Mexican,Mexican,,AL 35233,"Breakfast, Lunch, Dinner",,,Taco Bell,,FSR,Geography/Ethnic
"2657 Valleydale Rd, Birmingham, AL 35244-2026","Italian,Pizza","Italian, Pizza",,AL 35244-2026,"Lunch, Dinner",,,Sanpeggio's Pizza,,FSR,Geography/Ethnic
"4623 Highway 280 S., Birmingham, AL 35242",Mexican,Mexican,,AL 35242,"Breakfast, Lunch, Dinner",$,,Taco Bell,,LSR,Geography/Ethnic
"367 Valley Ave, Birmingham, AL 35209-3816",,,Reservations,AL 35209-3816,"Lunch, Dinner",$$ - $$$,,Rafiki's,,FSR,Food-Centric
"2832 Linden Ave, Birmingham, AL 35209-2514",Cafe,Cafe,,AL 35209-2514,,,,Caveat,,LSR,Beverage-Centric
"5220 Oporto Madrid Blvd S, Birmingham, AL 35210-1909",Chinese,Chinese,,AL 35210-1909,"Lunch, Dinner",,,China Way Restaurant,,FSR,Geography/Ethnic
"4000 Grand Ave, Birmingham, AL 35226-6201",,,,AL 35226-6201,"Breakfast, Lunch, Dinner",,,The Clubhouse Restaurant,,FSR,Food-Centric
"5000 Richard Arrington Jr Blvd N, Birmingham, AL 35212-1410","Bar,Grill,Pub","Bar, Grill, Pub",Reservations,AL 35212-1410,,$$ - $$$,,Steel City Bar & Grill,,Bar/Club,Beverage-Centric
"15 Office Park Cir Ste 140, Birmingham, AL 35223-2562",,,,AL 35223-2562,"Lunch, Dinner",,,Golden Rule Bar-B-Q and Grill,,FSR,Food-Centric
"300 20th St S, Birmingham, AL 35233",,,,AL 35233,"Lunch, Dinner",,,Chipotle Mexican Grill,,FSR,Food-Centric
"1813 10th Ct S, Birmingham, AL 35205-4805",,,,AL 35205-4805,,$,,Marty's,,LSR,Food-Centric
"42 Manning Pl, Birmingham, AL 35242-1809","Mexican,American,Irish","Mexican, American, Irish",,AL 35242-1809,,,,The Red Shamrock,,FSR,Geography/Ethnic
"5419 Highway 280, Birmingham, AL 35242-6510",Diner,Diner,"Wheelchair Accessible, Seating, Table Service",AL 35242-6510,Brunch,$,,Waffle House,,LSR,Food-Centric
"5084 Pinnacle Square Pinnacle at Tutwiler Farm, Birmingham, AL 35235-3170",Mexican,Mexican,"Seating, Table Service",AL 35235-3170,Dinner,$$ - $$$,,Casa Fiesta,,FSR,Geography/Ethnic
"3525 Roosevelt Blvd Trussville Mall, Birmingham, AL 35235","American,Seafood","American, Seafood","Seating, Wheelchair Accessible, Serves Alcohol, Takeout, Table Service",AL 35235,"Lunch, Dinner",$$ - $$$,,Red Lobster,,FSR,Geography/Ethnic
"2012 Magnolia Ave S Suite R3, Birmingham, AL 35205-2899",Pizza,Pizza,,AL 35205-2899,,,,Iron City Pizza Co.,,FSR,Food-Centric
"1821 2nd Ave N The Pizitz Food Hall, Birmingham, AL 35203-3156",American,American,,AL 35203-3156,,$$ - $$$,$5 - $20,Mo:mo:,,FSR,Geography/Ethnic
"1416 4th Ave S., Birmingham, AL 35233",,,,AL 35233,"Lunch, Dinner",,,Buffalo Wild Wings,,FSR,Food-Centric
"746 Brookwood Vlg, Birmingham, AL 35209",American,American,,AL 35209,"Lunch, Dinner",,,Chick-fil-A,,FSR,Geography/Ethnic
"4647 Hwy. 280, Birmingham, AL 35242",Pizza,Pizza,"Gift Cards Available, Reservations",AL 35242,"Lunch, Dinner",,,Chuck E. Cheese,,FSR,Food-Centric
"2000 Riverchase Galleria Ste I, Birmingham, AL 35244-2341",American,American,,AL 35244-2341,,$,,Farmer's Basket,,LSR,Geography/Ethnic
"632 Montgomery Hwy, Birmingham, AL 35216-1810",Pizza,Pizza,"Wheelchair Accessible, Seating",AL 35216-1810,Dinner,$$ - $$$,,Ironstone Pizza,,FSR,Food-Centric
"5479 Highway 280 Suite 102, Birmingham, AL 35242-2301","Japanese,Sushi,Asian","Japanese, Sushi, Asian","Takeout, Seating, Reservations, Wheelchair Accessible",AL 35242-2301,"Dinner, Lunch",$$ - $$$,,Blowfish Sushi Bar,,FSR,Geography/Ethnic
"270 Doug Baker Blvd, Birmingham, AL 35242-2693",Mexican,Mexican,,AL 35242-2693,"Lunch, Dinner",$,,Moe's Southwest Grill,,LSR,Geography/Ethnic
"120 Doug Baker Blvd, Birmingham, AL 35242","Japanese,Sushi,Asian","Sushi, Asian, Japanese","Seating, Wheelchair Accessible",AL 35242,"Lunch, Dinner",$$ - $$$,,Mt. Fuji Japanese Sushi Steakhouse,,FSR,Geography/Ethnic
"228 Oxmoor Blvd, Birmingham, AL 35209","American,Fast Food","Fast Food, American",,AL 35209,"Breakfast, Lunch, Dinner",$,,Hardee's,,LSR,Geography/Ethnic
"3305 Lorna Rd Ste 11, Birmingham, AL 35216-5447",,,,AL 35216-5447,"Lunch, Dinner",$,,Pollo Lucas,,LSR,Food-Centric
"4704 Cahaba River Rd Ste. J1, Birmingham, AL 35243-2344","Fast Food,Deli","Fast Food, Deli",,AL 35243-2344,Lunch,$,$6 - $12,Firehouse Subs,,LSR,Food-Centric
"3419 Colonnade Pkwy Ste 100 The Shoppes of the Colonnade, Birmingham, AL 35243-3337",,,,AL 35243-3337,"Breakfast, Lunch, Dinner",,,Flying Biscuit,,FSR,Food-Centric
"1545 Montclair Road, Birmingham, AL 35210",American,American,,AL 35210,"Breakfast, Lunch, Dinner",$,,Bojangles' Famous Chicken 'n Biscuits,,LSR,Geography/Ethnic
"4012 24th St N, Birmingham, AL 35207-2616",,,,AL 35207-2616,,,,Ruth's Cafe,,FSR,Food-Centric
"5037 Highway 280, Birmingham, AL 35242-5166",Japanese,Japanese,,AL 35242-5166,,,,Wasabi Juan's,,FSR,Geography/Ethnic
"707 Richard Arrington Jr Blvd S, Birmingham, AL 35233-2155",,,,AL 35233-2155,"Lunch, Dinner",,,Blaze Pizza,,FSR,Food-Centric
"601 Doug Baker Blvd Ste 101, Birmingham, AL 35242-2011","Japanese,Sushi,Asian","Japanese, Sushi, Asian","Wheelchair Accessible, Seating, Table Service",AL 35242-2011,"Lunch, Dinner",$$ - $$$,,Sushi Village,,FSR,Geography/Ethnic
"50 14th St N, Birmingham, AL 35203-1735",,,,AL 35203-1735,,,,Tacos Dos Hermanos Taco Truck,,FSR,Food-Centric
"1005 Beltline Rd SE, Decatur, AL 35601-6549",,,,AL 35601-6549,,,,Milo's Hamburgers,,FSR,Food-Centric
"7001 Crestwood Blvd, Birmingham, AL 35210-2332",Mexican,Mexican,,AL 35210-2332,,$,,Los Arcos Mexican Restaurant,,LSR,Geography/Ethnic
"5269 Highway 280 Ste. B8, Birmingham, AL 35242-1201",Deli,Deli,,AL 35242-1201,,,,Firehouse Subs,,FSR,Food-Centric
"2208 Beltline Rd SW, Decatur, AL 35601-3618",,,,AL 35601-3618,"Lunch, Dinner",,,KFC,,FSR,Food-Centric
"3305 Point Mallard Pkwy SE, Decatur, AL 35603-5709","American,Diner","Diner, American",,AL 35603-5709,,,,Waffle House,,FSR,Geography/Ethnic
"5974 Chalkville Mountain Rd, Birmingham, AL 35235-3315","Mexican,Latin","Mexican, Latin","Takeout, Seating, Wheelchair Accessible, Table Service",AL 35235-3315,"Lunch, Dinner",$,,Frontera Grill,,LSR,Geography/Ethnic
"1694 Montgomery Hwy, Birmingham, AL 35216-4915",Mexican,Mexican,,AL 35216-4915,,,,Guadalajara,,FSR,Geography/Ethnic
"2109 Lorna Ridge Ln, Birmingham, AL 35216-5279",Chinese,Chinese,"Wheelchair Accessible, Seating, Table Service",AL 35216-5279,Dinner,$$ - $$$,,Formosa Chinese Restaurant,,FSR,Geography/Ethnic
"9345 Parkway E, Birmingham, AL 35215",American,American,,AL 35215,"Breakfast, Lunch, Dinner",,,Chick-fil-A,,FSR,Geography/Ethnic
"2941 Point Mallard Pkwy SE, Decatur, AL 35603-5716","Bar,Pub","Bar, Pub",,AL 35603-5716,,,,Highway 67 Roadhouse,,Bar/Club,Beverage-Centric
"1428 Beltline Rd SW, Decatur, AL 35601-5504",,,"Takeout, Seating, Wheelchair Accessible, Table Service",AL 35601-5504,Lunch,$$ - $$$,,IHOP,,FSR,Food-Centric
"2313 6th Ave, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Burger King,,FSR,Food-Centric
"1842 Glenn St SW, Decatur, AL 35603-2517",Pizza,Pizza,,AL 35603-2517,"Lunch, Dinner",,,Domino's Pizza,,FSR,Food-Centric
"1820 6th Ave SE Ste M, Decatur, AL 35601-6045",Chinese,Chinese,,AL 35601-6045,,$,,China Buffet,,LSR,Geography/Ethnic
"725 Beltline Rd SW, Decatur, AL 35601-6335",,,,AL 35601-6335,"Lunch, Dinner",,,Cheeseburger Bobby's,,FSR,Food-Centric
"3240 Point Mallard Pky Pilot Travel Center, Decatur, AL 35603",,,,AL 35603,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"303 Beltline Place S.W. Bldg 1/ Unit B, Decatur, AL 35603",Pizza,Pizza,,AL 35603,"Lunch, Dinner",,,Cicis,,FSR,Food-Centric
"1642 Beltline Rd SW, Decatur, AL 35601-5508",Chinese,Chinese,,AL 35601-5508,,,,Panda Express,,FSR,Geography/Ethnic
"1203 Courtyard Cir SW, Decatur, AL 35603-2698",,,,AL 35603-2698,,,,Rio Grande,,FSR,Food-Centric
"1505 Moulton St W, Decatur, AL 35601-2133",,,,AL 35601-2133,,,,Southern Style Barbecue,,FSR,Food-Centric
"2210 Danville Rd SW, Decatur, AL 35601","American,Fast Food,Deli","American, Fast Food, Deli",,AL 35601,"Breakfast, Lunch, Dinner",,,Subway,,LSR,Geography/Ethnic
"1720 6th Ave SE, Decatur, AL 35601-5904","Chinese,Japanese,Asian","Chinese, Japanese, Asian",,AL 35601-5904,"Lunch, Dinner",,,Hibachi Express,,FSR,Geography/Ethnic
"107 2nd Ave NE, Decatur, AL 35601-2329","Steakhouse,Grill,Wine Bar","Steakhouse, Grill, Wine Bar","Takeout, Reservations, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Table Service, Non-smoking restaurants",AL 35601-2329,"Lunch, Dinner, Drinks",,,Steakdown Street,,Bar/Club,Food-Centric
"2941 Point Mallard Pkwy. SE Suite I, Decatur, AL 35603","Italian,Pizza","Italian, Pizza",,AL 35603,"Lunch, Dinner",,,Pizza Hut,,FSR,Geography/Ethnic
"2209 Danville Road, Decatur, AL 35601",,,,AL 35601,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"2699 Sandlin Rd SW Ste B5, Decatur, AL 35601-7344",,,,AL 35601-7344,"Lunch, Dinner",,,Westside Coffee Place and Cafe,,FSR,Food-Centric
"2109 Highway 20, Decatur, AL 35601-7511",,,,AL 35601-7511,,,,Taqueria Acapulco,,FSR,Food-Centric
"609 14th St SE, Decatur, AL 35601-5909",Asian,Asian,,AL 35601-5909,,,,Canton House,,FSR,Geography/Ethnic
"1003 Beltline Rd SW, Decatur, AL 35601-6273","American,Southwestern,Bar","American, Bar, Southwestern, Pub","Takeout, Wheelchair Accessible, Serves Alcohol, Seating, Table Service",AL 35601-6273,"Lunch, Dinner",$$ - $$$,,Chili's Grill & Bar,,Bar/Club,Geography/Ethnic
"2714 Spring Ave SW, Decatur, AL 35603-1216",American,American,,AL 35603-1216,"Lunch, Dinner",$,,Arby's,,LSR,Geography/Ethnic
"307 2Nd Ave SE Suite 3, Decatur, AL 35601-2339",,,,AL 35601-2339,"Breakfast, Lunch",,,High Point Market,,FSR,Food-Centric
"926 Beltline Rd SW, Decatur, AL 35601",Pizza,Pizza,,AL 35601,"Lunch, Dinner",$$ - $$$,,Pizza Hut,,FSR,Food-Centric
"133 4th Ave NE Inside Cook's Museum of Natural Science, Decatur, AL 35601-2601","American,Cafe,Healthy","American, Cafe, Healthy",,AL 35601-2601,,,,Nature's Table,,LSR,Geography/Ethnic
"1241 Point Mallard Pkwy SE Ste 413, Decatur, AL 35601-6521",Healthy,Healthy,,AL 35601-6521,,$$ - $$$,,Zen Beri,,FSR,Food-Centric
"350 Market St NE, Decatur, AL 35601-1992",Cafe,Cafe,,AL 35601-1992,"Lunch, Dinner",$$ - $$$,,Fite Waterfront Dining,,LSR,Beverage-Centric
"1801 Beltline Rd. Suite G, Decatur, AL 35601",Pizza,Pizza,,AL 35601,"Lunch, Dinner",,,Chuck E. Cheese,,FSR,Food-Centric
"2148 Beltline Road SW, Decatur, AL 35601",American,American,"Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service",AL 35601,"Lunch, Dinner",$$ - $$$,,O'Charley's,,FSR,Geography/Ethnic
"2215 Danville Rd SW Ste G, Decatur, AL 35601-4604",,,,AL 35601-4604,"Breakfast, Lunch",,,Simply Delicious,,FSR,Food-Centric
"2202 6th Ave SE, Decatur, AL 35601-6512",Fast Food,Fast Food,,AL 35601-6512,,$,,Waffle House,,LSR,Food-Centric
"1216 Beltline Rd SW Sw, Decatur, AL 35601-6202",Seafood,Seafood,,AL 35601-6202,,,,ARDS Seafood Market,,FSR,Food-Centric
"2015 Beltline Rd SW, Decatur, AL 35601-5515",,,,AL 35601-5515,,$,,Waffle House,,LSR,Food-Centric
"1315 Highway 20, Decatur, AL 35601-7505",Barbecue,Barbecue,,AL 35601-7505,Lunch,$,,Scruggs BBQ,,Bar/Club,Food-Centric
"2324 6th Ave SE, Decatur, AL 35601-6514","American,Fast Food","American, Fast Food",,AL 35601-6514,"Breakfast, Lunch, Dinner",$,$3 - $8,Bojangles,,LSR,Geography/Ethnic
"620 Highway 67 S, Decatur, AL 35603-6304",Mexican,Mexican,,AL 35603-6304,,$$ - $$$,$5 - $20,Ay Chihuahua Mexican Restaurant,,FSR,Geography/Ethnic
"1101 6th Ave NE, Decatur, AL 35601-2417","American,Bar,Contemporary","American, Contemporary, Bar, Pub",,AL 35601-2417,"Breakfast, Late Night, Lunch, Dinner, Brunch",$$ - $$$,$6 - $27,Twist Grill & Bar,,Bar/Club,Geography/Ethnic
"2027 Beltline Rd SW, Decatur, AL 35601","American,Seafood","American, Seafood","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Highchairs Available, Table Service",AL 35601,"Lunch, Dinner",$$ - $$$,,Red Lobster,,FSR,Geography/Ethnic
"1318 6th Ave SE, Decatur, AL 35601-4210",Mexican,Mexican,"Seating, Wheelchair Accessible, Table Service",AL 35601-4210,"Lunch, Dinner, Brunch",$,,Tio Juan Mexican Grill,,LSR,Geography/Ethnic
"324 2nd Ave SE, Decatur, AL 35601-2320","Mediterranean,Greek","Mediterranean, Greek",,AL 35601-2320,,$,,Gyro Uno,,LSR,Geography/Ethnic
"1000 Beltline Rd SW, Decatur, AL 35601-6262","Chinese,Sushi,Asian","Chinese, Asian, Sushi","Takeout, Seating, Wheelchair Accessible",AL 35601-6262,"Lunch, Dinner",$,,Chow King,,LSR,Geography/Ethnic
"725 Beltline Rd SW Suite A, Decatur, AL 35601-6335","American,Barbecue,Healthy","Barbecue, American, Healthy",,AL 35601-6335,"Lunch, Dinner",$$ - $$$,$6 - $15,LawLers Barbecue,,Bar/Club,Geography/Ethnic
"3755 Highway 31 North, Decatur, AL 35603-1635","American,Bar","American, Bar","Reservations, Outdoor Seating, Seating, Parking Available, Free Off-Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Takeout, Television, Highchairs Available, Accepts Credit Cards, Table Service, Live Music",AL 35603-1635,"Lunch, Dinner, Late Night",$$ - $$$,,Hard Dock,,Bar/Club,Geography/Ethnic
"921 Wimberly Dr SW, Decatur, AL 35603-3221",Vegetarian Friendly,,"Seating, Wheelchair Accessible",AL 35603-3221,"Lunch, Dinner",$$ - $$$,,Golden Corral,Vegetarian Friendly,FSR,Food-Centric
"707 Richard Arrington Jr Blvd S Suite 104, Birmingham, AL 35233-2155",Asian,Asian,,AL 35233-2155,,$$ - $$$,,Yummefy Asian Restaurant,,FSR,Geography/Ethnic
"826 Bradley St SW, Decatur, AL 35601-5706",Mexican,Mexican,"Seating, Wheelchair Accessible",AL 35601-5706,"Dinner, Lunch",,,La Hacienda,,FSR,Geography/Ethnic
"1823 6th Ave SE, Decatur, AL 35601-6009",American,American,"Gift Cards Available, Delivery, Takeout",AL 35601-6009,"Lunch, Dinner",,,Steak-Out Charbroiled Delivery,,FSR,Geography/Ethnic
